2024-06-10 at 19:05:14 | INFO | gpuid: 0, args: Namespace(exp_name='resnet18_baseline', video_path='../dataset/dataset0420', dataset='dataset0420', n_classes=7, aug_type=0, pretrain_path=None, sample_size=224, sample_duration=5, sample_t_stride=1, train_crop='random', value_scale=1, train_crop_min_scale=0.25, train_crop_min_ratio=0.75, no_hflip=False, colorjitter=False, train_t_crop='random', backbone='resnet18', nepoch=300, weight_decay=4e-05, lr=0.001, min_lr=0.0001, warmup_epoch=10, batch_size=16)
2024-06-10 at 19:05:18 | INFO | train: epoch 0
2024-06-10 at 19:05:36 | INFO | e:0,0/70 0.057 mb/s passed:17.55 eta:1210.75 lr:0.00010 acc:0.438 loss:1.929163
2024-06-10 at 19:05:37 | INFO | e:0,5/70 0.33 mb/s passed:18.16 eta:193.67 lr:0.00010 acc:0.562 loss:1.836476
2024-06-10 at 19:05:37 | INFO | e:0,10/70 0.59 mb/s passed:18.77 eta:100.67 lr:0.00010 acc:0.375 loss:1.802710
2024-06-10 at 19:05:38 | INFO | e:0,15/70 0.83 mb/s passed:19.36 eta:65.34 lr:0.00010 acc:0.688 loss:1.266351
2024-06-10 at 19:05:44 | INFO | e:0,20/70 0.82 mb/s passed:25.53 eta:59.57 lr:0.00010 acc:0.500 loss:1.521632
2024-06-10 at 19:05:45 | INFO | e:0,25/70 1 mb/s passed:26.12 eta:44.20 lr:0.00010 acc:0.438 loss:1.567288
2024-06-10 at 19:05:45 | INFO | e:0,30/70 1.2 mb/s passed:26.72 eta:33.61 lr:0.00010 acc:0.438 loss:1.561900
2024-06-10 at 19:05:56 | INFO | e:0,35/70 0.96 mb/s passed:37.43 eta:35.35 lr:0.00010 acc:0.625 loss:1.398386
2024-06-10 at 19:05:57 | INFO | e:0,40/70 1.1 mb/s passed:38.02 eta:26.89 lr:0.00010 acc:0.625 loss:1.144075
2024-06-10 at 19:05:57 | INFO | e:0,45/70 1.2 mb/s passed:38.62 eta:20.15 lr:0.00010 acc:0.562 loss:1.384554
2024-06-10 at 19:06:09 | INFO | e:0,50/70 1 mb/s passed:50.08 eta:18.66 lr:0.00010 acc:0.500 loss:1.481799
2024-06-10 at 19:06:09 | INFO | e:0,55/70 1.1 mb/s passed:50.67 eta:12.67 lr:0.00010 acc:0.688 loss:1.200587
2024-06-10 at 19:06:10 | INFO | e:0,60/70 1.2 mb/s passed:51.25 eta:7.56 lr:0.00010 acc:0.625 loss:0.997328
2024-06-10 at 19:06:18 | INFO | e:0,65/70 1.1 mb/s passed:59.19 eta:3.59 lr:0.00010 acc:0.625 loss:1.135871
2024-06-10 at 19:06:18 | INFO | Epoch: 0, Train Loss: 1.3805060234293007, Accuracy: 0.5922592259225923
2024-06-10 at 19:06:31 | INFO | Epoch: 0, Test Loss: 1.1958490569712752, Accuracy: 0.6186440677966102
2024-06-10 at 19:06:31 | INFO | train: epoch 1
2024-06-10 at 19:06:44 | INFO | e:1,0/70 0.077 mb/s passed:12.94 eta:892.65 lr:0.00019 acc:0.625 loss:1.063660
2024-06-10 at 19:06:45 | INFO | e:1,5/70 0.44 mb/s passed:13.64 eta:145.46 lr:0.00019 acc:0.750 loss:1.053285
2024-06-10 at 19:06:45 | INFO | e:1,10/70 0.77 mb/s passed:14.29 eta:76.65 lr:0.00019 acc:0.688 loss:1.019958
2024-06-10 at 19:06:46 | INFO | e:1,15/70 1.1 mb/s passed:14.91 eta:50.31 lr:0.00019 acc:0.438 loss:1.643489
2024-06-10 at 19:06:56 | INFO | e:1,20/70 0.85 mb/s passed:24.81 eta:57.90 lr:0.00019 acc:0.562 loss:1.145701
2024-06-10 at 19:06:56 | INFO | e:1,25/70 1 mb/s passed:25.45 eta:43.06 lr:0.00019 acc:0.625 loss:1.075738
2024-06-10 at 19:06:57 | INFO | e:1,30/70 1.2 mb/s passed:26.03 eta:32.75 lr:0.00019 acc:0.438 loss:1.290553
2024-06-10 at 19:07:07 | INFO | e:1,35/70 1 mb/s passed:36.08 eta:34.07 lr:0.00019 acc:0.625 loss:1.081894
2024-06-10 at 19:07:08 | INFO | e:1,40/70 1.1 mb/s passed:36.72 eta:25.97 lr:0.00019 acc:0.688 loss:1.170511
2024-06-10 at 19:07:08 | INFO | e:1,45/70 1.2 mb/s passed:37.33 eta:19.47 lr:0.00019 acc:0.688 loss:1.195927
2024-06-10 at 19:07:18 | INFO | e:1,50/70 1.1 mb/s passed:46.95 eta:17.49 lr:0.00019 acc:0.688 loss:0.906896
2024-06-10 at 19:07:18 | INFO | e:1,55/70 1.2 mb/s passed:47.51 eta:11.88 lr:0.00019 acc:0.750 loss:1.040187
2024-06-10 at 19:07:19 | INFO | e:1,60/70 1.3 mb/s passed:48.07 eta:7.09 lr:0.00019 acc:0.812 loss:0.729660
2024-06-10 at 19:07:25 | INFO | e:1,65/70 1.2 mb/s passed:54.35 eta:3.29 lr:0.00019 acc:0.375 loss:1.478399
2024-06-10 at 19:07:26 | INFO | Epoch: 1, Train Loss: 1.2131705585629096, Accuracy: 0.5967596759675967
2024-06-10 at 19:07:36 | INFO | Epoch: 1, Test Loss: 1.106203178227958, Accuracy: 0.6186440677966102
2024-06-10 at 19:07:36 | INFO | train: epoch 2
2024-06-10 at 19:07:48 | INFO | e:2,0/70 0.08 mb/s passed:12.51 eta:863.18 lr:0.00028 acc:0.375 loss:1.550669
2024-06-10 at 19:07:49 | INFO | e:2,5/70 0.45 mb/s passed:13.21 eta:140.90 lr:0.00028 acc:0.500 loss:1.300043
2024-06-10 at 19:07:50 | INFO | e:2,10/70 0.79 mb/s passed:13.93 eta:74.73 lr:0.00028 acc:0.812 loss:0.785063
2024-06-10 at 19:07:51 | INFO | e:2,15/70 1.1 mb/s passed:14.59 eta:49.24 lr:0.00028 acc:0.562 loss:1.313041
2024-06-10 at 19:08:00 | INFO | e:2,20/70 0.87 mb/s passed:24.20 eta:56.47 lr:0.00028 acc:0.875 loss:0.717301
2024-06-10 at 19:08:01 | INFO | e:2,25/70 1 mb/s passed:24.83 eta:42.02 lr:0.00028 acc:0.500 loss:1.236795
2024-06-10 at 19:08:01 | INFO | e:2,30/70 1.2 mb/s passed:25.45 eta:32.01 lr:0.00028 acc:0.562 loss:1.363185
2024-06-10 at 19:08:11 | INFO | e:2,35/70 1 mb/s passed:35.08 eta:33.13 lr:0.00028 acc:0.688 loss:0.929127
2024-06-10 at 19:08:12 | INFO | e:2,40/70 1.1 mb/s passed:36.00 eta:25.46 lr:0.00028 acc:0.750 loss:0.892365
2024-06-10 at 19:08:13 | INFO | e:2,45/70 1.3 mb/s passed:36.65 eta:19.12 lr:0.00028 acc:0.562 loss:1.446731
2024-06-10 at 19:08:22 | INFO | e:2,50/70 1.1 mb/s passed:46.31 eta:17.25 lr:0.00028 acc:0.438 loss:1.215342
2024-06-10 at 19:08:23 | INFO | e:2,55/70 1.2 mb/s passed:46.90 eta:11.73 lr:0.00028 acc:0.562 loss:1.098851
2024-06-10 at 19:08:23 | INFO | e:2,60/70 1.3 mb/s passed:47.46 eta:7.00 lr:0.00028 acc:0.688 loss:1.055205
2024-06-10 at 19:08:30 | INFO | e:2,65/70 1.2 mb/s passed:53.91 eta:3.27 lr:0.00028 acc:0.750 loss:0.923840
2024-06-10 at 19:08:30 | INFO | Epoch: 2, Train Loss: 1.1722170528691702, Accuracy: 0.6057605760576058
2024-06-10 at 19:08:41 | INFO | Epoch: 2, Test Loss: 1.1793090852640442, Accuracy: 0.635593220338983
2024-06-10 at 19:08:41 | INFO | train: epoch 3
2024-06-10 at 19:08:54 | INFO | e:3,0/70 0.08 mb/s passed:12.44 eta:858.58 lr:0.00037 acc:0.625 loss:0.957896
2024-06-10 at 19:08:55 | INFO | e:3,5/70 0.45 mb/s passed:13.20 eta:140.77 lr:0.00037 acc:0.688 loss:0.928871
2024-06-10 at 19:08:55 | INFO | e:3,10/70 0.79 mb/s passed:13.86 eta:74.31 lr:0.00037 acc:0.562 loss:1.247106
2024-06-10 at 19:08:56 | INFO | e:3,15/70 1.1 mb/s passed:14.57 eta:49.17 lr:0.00037 acc:0.500 loss:1.376506
2024-06-10 at 19:09:06 | INFO | e:3,20/70 0.86 mb/s passed:24.36 eta:56.84 lr:0.00037 acc:0.625 loss:1.099998
2024-06-10 at 19:09:06 | INFO | e:3,25/70 1 mb/s passed:24.99 eta:42.28 lr:0.00037 acc:0.688 loss:0.875045
2024-06-10 at 19:09:07 | INFO | e:3,30/70 1.2 mb/s passed:25.67 eta:32.30 lr:0.00037 acc:0.625 loss:1.085297
2024-06-10 at 19:09:17 | INFO | e:3,35/70 1 mb/s passed:36.05 eta:34.05 lr:0.00037 acc:0.500 loss:1.227148
2024-06-10 at 19:09:18 | INFO | e:3,40/70 1.1 mb/s passed:36.70 eta:25.96 lr:0.00037 acc:0.750 loss:0.915365
2024-06-10 at 19:09:19 | INFO | e:3,45/70 1.2 mb/s passed:37.29 eta:19.45 lr:0.00037 acc:0.812 loss:0.697166
2024-06-10 at 19:09:28 | INFO | e:3,50/70 1.1 mb/s passed:47.03 eta:17.52 lr:0.00037 acc:0.625 loss:1.062277
2024-06-10 at 19:09:29 | INFO | e:3,55/70 1.2 mb/s passed:47.62 eta:11.90 lr:0.00037 acc:0.500 loss:1.533475
2024-06-10 at 19:09:30 | INFO | e:3,60/70 1.3 mb/s passed:48.18 eta:7.11 lr:0.00037 acc:0.750 loss:1.221474
2024-06-10 at 19:09:35 | INFO | e:3,65/70 1.2 mb/s passed:53.26 eta:3.23 lr:0.00037 acc:0.500 loss:1.922784
2024-06-10 at 19:09:36 | INFO | Epoch: 3, Train Loss: 1.195052479967998, Accuracy: 0.5994599459945995
2024-06-10 at 19:09:49 | INFO | Epoch: 3, Test Loss: 1.1016175100358867, Accuracy: 0.6271186440677966
2024-06-10 at 19:09:49 | INFO | train: epoch 4
2024-06-10 at 19:10:02 | INFO | e:4,0/70 0.079 mb/s passed:12.66 eta:873.72 lr:0.00046 acc:0.688 loss:0.937198
2024-06-10 at 19:10:03 | INFO | e:4,5/70 0.45 mb/s passed:13.30 eta:141.90 lr:0.00046 acc:0.750 loss:0.760069
2024-06-10 at 19:10:03 | INFO | e:4,10/70 0.79 mb/s passed:13.90 eta:74.55 lr:0.00046 acc:0.625 loss:1.155556
2024-06-10 at 19:10:04 | INFO | e:4,15/70 1.1 mb/s passed:14.53 eta:49.04 lr:0.00046 acc:0.750 loss:0.805542
2024-06-10 at 19:10:14 | INFO | e:4,20/70 0.85 mb/s passed:24.76 eta:57.78 lr:0.00046 acc:0.562 loss:1.469699
2024-06-10 at 19:10:15 | INFO | e:4,25/70 1 mb/s passed:25.41 eta:42.99 lr:0.00046 acc:0.562 loss:1.275284
2024-06-10 at 19:10:15 | INFO | e:4,30/70 1.2 mb/s passed:26.02 eta:32.74 lr:0.00046 acc:0.688 loss:0.818252
2024-06-10 at 19:10:25 | INFO | e:4,35/70 1 mb/s passed:35.61 eta:33.64 lr:0.00046 acc:0.500 loss:1.759859
2024-06-10 at 19:10:26 | INFO | e:4,40/70 1.1 mb/s passed:36.30 eta:25.68 lr:0.00046 acc:0.625 loss:1.341591
2024-06-10 at 19:10:26 | INFO | e:4,45/70 1.2 mb/s passed:36.94 eta:19.27 lr:0.00046 acc:0.750 loss:0.899707
2024-06-10 at 19:10:36 | INFO | e:4,50/70 1.1 mb/s passed:46.54 eta:17.34 lr:0.00046 acc:0.625 loss:1.028370
2024-06-10 at 19:10:36 | INFO | e:4,55/70 1.2 mb/s passed:47.10 eta:11.77 lr:0.00046 acc:0.688 loss:0.880368
2024-06-10 at 19:10:37 | INFO | e:4,60/70 1.3 mb/s passed:47.64 eta:7.03 lr:0.00046 acc:0.438 loss:1.455702
2024-06-10 at 19:10:43 | INFO | e:4,65/70 1.2 mb/s passed:54.09 eta:3.28 lr:0.00046 acc:0.562 loss:1.459862
2024-06-10 at 19:10:44 | INFO | Epoch: 4, Train Loss: 1.1464559622008343, Accuracy: 0.6129612961296129
2024-06-10 at 19:10:54 | INFO | Epoch: 4, Test Loss: 1.2753759352332454, Accuracy: 0.6186440677966102
2024-06-10 at 19:10:54 | INFO | train: epoch 5
2024-06-10 at 19:11:07 | INFO | e:5,0/70 0.078 mb/s passed:12.84 eta:886.18 lr:0.00055 acc:0.500 loss:1.561173
2024-06-10 at 19:11:08 | INFO | e:5,5/70 0.43 mb/s passed:14.09 eta:150.29 lr:0.00055 acc:0.562 loss:0.888391
2024-06-10 at 19:11:08 | INFO | e:5,10/70 0.74 mb/s passed:14.80 eta:79.36 lr:0.00055 acc:0.688 loss:0.994719
2024-06-10 at 19:11:09 | INFO | e:5,15/70 1 mb/s passed:15.39 eta:51.94 lr:0.00055 acc:0.438 loss:1.332346
2024-06-10 at 19:11:19 | INFO | e:5,20/70 0.84 mb/s passed:24.98 eta:58.29 lr:0.00055 acc:0.562 loss:1.021577
2024-06-10 at 19:11:19 | INFO | e:5,25/70 1 mb/s passed:25.63 eta:43.38 lr:0.00055 acc:0.812 loss:1.001665
2024-06-10 at 19:11:20 | INFO | e:5,30/70 1.2 mb/s passed:26.22 eta:32.99 lr:0.00055 acc:0.438 loss:1.373710
2024-06-10 at 19:11:30 | INFO | e:5,35/70 1 mb/s passed:36.00 eta:34.00 lr:0.00055 acc:0.562 loss:1.385492
2024-06-10 at 19:11:30 | INFO | e:5,40/70 1.1 mb/s passed:36.60 eta:25.89 lr:0.00055 acc:0.750 loss:1.119707
2024-06-10 at 19:11:31 | INFO | e:5,45/70 1.2 mb/s passed:37.29 eta:19.46 lr:0.00055 acc:0.625 loss:1.255494
2024-06-10 at 19:11:40 | INFO | e:5,50/70 1.1 mb/s passed:46.65 eta:17.38 lr:0.00055 acc:0.562 loss:1.581171
2024-06-10 at 19:11:41 | INFO | e:5,55/70 1.2 mb/s passed:47.21 eta:11.80 lr:0.00055 acc:0.688 loss:1.068120
2024-06-10 at 19:11:41 | INFO | e:5,60/70 1.3 mb/s passed:47.76 eta:7.05 lr:0.00055 acc:0.375 loss:1.557257
2024-06-10 at 19:11:48 | INFO | e:5,65/70 1.2 mb/s passed:53.91 eta:3.27 lr:0.00055 acc:0.375 loss:1.629898
2024-06-10 at 19:11:48 | INFO | Epoch: 5, Train Loss: 1.229621189280097, Accuracy: 0.594059405940594
2024-06-10 at 19:12:02 | INFO | Epoch: 5, Test Loss: 1.1797600661293934, Accuracy: 0.6186440677966102
2024-06-10 at 19:12:02 | INFO | train: epoch 6
2024-06-10 at 19:12:15 | INFO | e:6,0/70 0.079 mb/s passed:12.62 eta:870.53 lr:0.00064 acc:0.812 loss:0.781838
2024-06-10 at 19:12:15 | INFO | e:6,5/70 0.44 mb/s passed:13.50 eta:144.03 lr:0.00064 acc:0.438 loss:1.344525
2024-06-10 at 19:12:16 | INFO | e:6,10/70 0.78 mb/s passed:14.11 eta:75.66 lr:0.00064 acc:0.875 loss:0.728090
2024-06-10 at 19:12:17 | INFO | e:6,15/70 1.1 mb/s passed:14.73 eta:49.73 lr:0.00064 acc:0.438 loss:1.366312
2024-06-10 at 19:12:27 | INFO | e:6,20/70 0.85 mb/s passed:24.69 eta:57.62 lr:0.00064 acc:0.625 loss:1.130513
2024-06-10 at 19:12:27 | INFO | e:6,25/70 1 mb/s passed:25.34 eta:42.88 lr:0.00064 acc:0.625 loss:1.098531
2024-06-10 at 19:12:28 | INFO | e:6,30/70 1.2 mb/s passed:26.02 eta:32.73 lr:0.00064 acc:0.625 loss:0.955780
2024-06-10 at 19:12:37 | INFO | e:6,35/70 1 mb/s passed:35.45 eta:33.48 lr:0.00064 acc:0.812 loss:0.844873
2024-06-10 at 19:12:38 | INFO | e:6,40/70 1.1 mb/s passed:36.04 eta:25.49 lr:0.00064 acc:0.500 loss:1.104925
2024-06-10 at 19:12:39 | INFO | e:6,45/70 1.3 mb/s passed:36.66 eta:19.13 lr:0.00064 acc:0.688 loss:0.854028
2024-06-10 at 19:12:49 | INFO | e:6,50/70 1.1 mb/s passed:46.76 eta:17.42 lr:0.00064 acc:0.562 loss:1.060353
2024-06-10 at 19:12:49 | INFO | e:6,55/70 1.2 mb/s passed:47.30 eta:11.83 lr:0.00064 acc:0.500 loss:1.307115
2024-06-10 at 19:12:50 | INFO | e:6,60/70 1.3 mb/s passed:47.84 eta:7.06 lr:0.00064 acc:0.688 loss:1.089245
2024-06-10 at 19:12:58 | INFO | e:6,65/70 1.2 mb/s passed:56.18 eta:3.40 lr:0.00064 acc:0.812 loss:0.941528
2024-06-10 at 19:12:59 | INFO | Epoch: 6, Train Loss: 1.1623082163632183, Accuracy: 0.6039603960396039
2024-06-10 at 19:13:12 | INFO | Epoch: 6, Test Loss: 1.021997416423539, Accuracy: 0.6271186440677966
2024-06-10 at 19:13:12 | INFO | train: epoch 7
2024-06-10 at 19:13:25 | INFO | e:7,0/70 0.078 mb/s passed:12.89 eta:889.61 lr:0.00073 acc:0.562 loss:1.149345
2024-06-10 at 19:13:26 | INFO | e:7,5/70 0.44 mb/s passed:13.52 eta:144.26 lr:0.00073 acc:0.375 loss:1.331844
2024-06-10 at 19:13:26 | INFO | e:7,10/70 0.78 mb/s passed:14.19 eta:76.13 lr:0.00073 acc:0.625 loss:1.162543
2024-06-10 at 19:13:27 | INFO | e:7,15/70 1.1 mb/s passed:14.84 eta:50.07 lr:0.00073 acc:0.500 loss:1.106416
2024-06-10 at 19:13:37 | INFO | e:7,20/70 0.85 mb/s passed:24.70 eta:57.62 lr:0.00073 acc:0.688 loss:0.626545
2024-06-10 at 19:13:37 | INFO | e:7,25/70 1 mb/s passed:25.35 eta:42.90 lr:0.00073 acc:0.562 loss:1.606791
2024-06-10 at 19:13:38 | INFO | e:7,30/70 1.2 mb/s passed:25.98 eta:32.68 lr:0.00073 acc:0.438 loss:1.284262
2024-06-10 at 19:13:48 | INFO | e:7,35/70 1 mb/s passed:35.73 eta:33.74 lr:0.00073 acc:0.375 loss:1.386915
2024-06-10 at 19:13:48 | INFO | e:7,40/70 1.1 mb/s passed:36.36 eta:25.72 lr:0.00073 acc:0.562 loss:1.382728
2024-06-10 at 19:13:49 | INFO | e:7,45/70 1.2 mb/s passed:37.04 eta:19.32 lr:0.00073 acc:0.562 loss:1.091102
2024-06-10 at 19:13:59 | INFO | e:7,50/70 1.1 mb/s passed:46.51 eta:17.33 lr:0.00073 acc:0.750 loss:0.680704
2024-06-10 at 19:13:59 | INFO | e:7,55/70 1.2 mb/s passed:47.06 eta:11.77 lr:0.00073 acc:0.438 loss:1.327000
2024-06-10 at 19:14:00 | INFO | e:7,60/70 1.3 mb/s passed:47.61 eta:7.02 lr:0.00073 acc:0.688 loss:0.930699
2024-06-10 at 19:14:07 | INFO | e:7,65/70 1.2 mb/s passed:55.28 eta:3.35 lr:0.00073 acc:0.312 loss:1.500592
2024-06-10 at 19:14:08 | INFO | Epoch: 7, Train Loss: 1.1328659884893175, Accuracy: 0.5976597659765976
2024-06-10 at 19:14:21 | INFO | Epoch: 7, Test Loss: 1.2650782839726593, Accuracy: 0.5932203389830508
2024-06-10 at 19:14:21 | INFO | train: epoch 8
2024-06-10 at 19:14:34 | INFO | e:8,0/70 0.077 mb/s passed:13.07 eta:901.64 lr:0.00082 acc:0.375 loss:1.489621
2024-06-10 at 19:14:34 | INFO | e:8,5/70 0.44 mb/s passed:13.72 eta:146.34 lr:0.00082 acc:0.625 loss:1.093240
2024-06-10 at 19:14:35 | INFO | e:8,10/70 0.77 mb/s passed:14.31 eta:76.76 lr:0.00082 acc:0.625 loss:1.384812
2024-06-10 at 19:14:36 | INFO | e:8,15/70 1.1 mb/s passed:14.92 eta:50.37 lr:0.00082 acc:0.625 loss:1.081483
2024-06-10 at 19:14:45 | INFO | e:8,20/70 0.85 mb/s passed:24.67 eta:57.55 lr:0.00082 acc:0.750 loss:0.988431
2024-06-10 at 19:14:46 | INFO | e:8,25/70 1 mb/s passed:25.33 eta:42.87 lr:0.00082 acc:0.875 loss:0.805716
2024-06-10 at 19:14:47 | INFO | e:8,30/70 1.2 mb/s passed:26.04 eta:32.76 lr:0.00082 acc:0.625 loss:1.125423
2024-06-10 at 19:14:56 | INFO | e:8,35/70 1 mb/s passed:35.47 eta:33.49 lr:0.00082 acc:0.562 loss:1.027008
2024-06-10 at 19:14:57 | INFO | e:8,40/70 1.1 mb/s passed:36.12 eta:25.55 lr:0.00082 acc:0.250 loss:1.671654
2024-06-10 at 19:14:57 | INFO | e:8,45/70 1.3 mb/s passed:36.77 eta:19.18 lr:0.00082 acc:0.562 loss:1.228969
2024-06-10 at 19:15:07 | INFO | e:8,50/70 1.1 mb/s passed:46.70 eta:17.40 lr:0.00082 acc:0.688 loss:1.204955
2024-06-10 at 19:15:08 | INFO | e:8,55/70 1.2 mb/s passed:47.26 eta:11.81 lr:0.00082 acc:0.375 loss:1.624128
